code,short_description,long_description,is_billable,organ_system,criteria_type
C93.12,"1 Chronic myelomonocytic leukemia, in relapse","Chronic myelomonocytic leukemia, in relapse",False,general,contraindication
C93.3,0 Juvenile myelomonocytic leukemia,Juvenile myelomonocytic leukemia,False,general,contraindication
C93.30,"1 Juvenile myelomonocytic leukemia, not achieve remission","Juvenile myelomonocytic leukemia, not having achieved remission",False,general,contraindication
C93.31,"1 Juvenile myelomonocytic leukemia, in remission","Juvenile myelomonocytic leukemia, in remission",False,general,contraindication
C93.32,"1 Juvenile myelomonocytic leukemia, in relapse","Juvenile myelomonocytic leukemia, in relapse",False,general,contraindication
C93.9,"0 Monocytic leukemia, unspecified","Monocytic leukemia, unspecified",False,general,contraindication
C93.90,"1 Monocytic leukemia, unsp, not having achieved remission","Monocytic leukemia, unspecified, not having achieved remission",False,general,contraindication
C93.91,"1 Monocytic leukemia, unspecified in remission","Monocytic leukemia, unspecified in remission",False,general,contraindication
C93.92,"1 Monocytic leukemia, unspecified in relapse","Monocytic leukemia, unspecified in relapse",False,general,contraindication
C93.Z,0 Other monocytic leukemia,Other monocytic leukemia,False,general,contraindication
C93.Z0,"1 Other monocytic leukemia, not having achieved remission","Other monocytic leukemia, not having achieved remission",False,general,contraindication
C93.Z1,"1 Other monocytic leukemia, in remission","Other monocytic leukemia, in remission",False,general,contraindication
C93.Z2,"1 Other monocytic leukemia, in relapse","Other monocytic leukemia, in relapse",False,general,contraindication
C94,0 Other leukemias of specified cell type,Other leukemias of specified cell type,False,general,contraindication
C94.0,0 Acute erythroid leukemia,Acute erythroid leukemia,False,general,contraindication
C94.00,"1 Acute erythroid leukemia, not having achieved remission","Acute erythroid leukemia, not having achieved remission",False,general,contraindication
C94.01,"1 Acute erythroid leukemia, in remission","Acute erythroid leukemia, in remission",False,general,contraindication
C94.02,"1 Acute erythroid leukemia, in relapse","Acute erythroid leukemia, in relapse",False,general,contraindication
C94.2,0 Acute megakaryoblastic leukemia,Acute megakaryoblastic leukemia,False,general,contraindication
C94.20,1 Acute megakaryoblastic leukemia not achieve remission,Acute megakaryoblastic leukemia not having achieved remission,False,general,contraindication
C94.21,"1 Acute megakaryoblastic leukemia, in remission","Acute megakaryoblastic leukemia, in remission",False,general,contraindication
C94.22,"1 Acute megakaryoblastic leukemia, in relapse","Acute megakaryoblastic leukemia, in relapse",False,general,contraindication
C94.3,0 Mast cell leukemia,Mast cell leukemia,False,general,contraindication
C94.30,1 Mast cell leukemia not having achieved remission,Mast cell leukemia not having achieved remission,False,general,contraindication
C94.31,"1 Mast cell leukemia, in remission","Mast cell leukemia, in remission",False,general,contraindication
C94.32,"1 Mast cell leukemia, in relapse","Mast cell leukemia, in relapse",False,general,contraindication
C94.4,0 Acute panmyelosis with myelofibrosis,Acute panmyelosis with myelofibrosis,False,general,contraindication
C94.40,1 Acute panmyelosis w myelofibrosis not achieve remission,Acute panmyelosis with myelofibrosis not having achieved remission,False,general,contraindication
C94.41,"1 Acute panmyelosis with myelofibrosis, in remission","Acute panmyelosis with myelofibrosis, in remission",False,general,contraindication
C94.42,"1 Acute panmyelosis with myelofibrosis, in relapse","Acute panmyelosis with myelofibrosis, in relapse",False,general,contraindication
C94.6,"1 Myelodysplastic disease, not elsewhere classified","Myelodysplastic disease, not elsewhere classified",False,general,contraindication
C94.8,0 Other specified leukemias,Other specified leukemias,False,general,contraindication
C94.80,1 Other specified leukemias not having achieved remission,Other specified leukemias not having achieved remission,False,general,contraindication
C94.81,"1 Other specified leukemias, in remission","Other specified leukemias, in remission",False,general,contraindication
C94.82,"1 Other specified leukemias, in relapse","Other specified leukemias, in relapse",False,general,contraindication
C95,0 Leukemia of unspecified cell type,Leukemia of unspecified cell type,False,general,contraindication
C95.0,0 Acute leukemia of unspecified cell type,Acute leukemia of unspecified cell type,False,general,contraindication
C95.00,1 Acute leukemia of unsp cell type not achieve remission,Acute leukemia of unspecified cell type not having achieved remission,False,general,contraindication
C95.01,"1 Acute leukemia of unspecified cell type, in remission","Acute leukemia of unspecified cell type, in remission",False,general,contraindication
C95.02,"1 Acute leukemia of unspecified cell type, in relapse","Acute leukemia of unspecified cell type, in relapse",False,general,contraindication
C95.1,0 Chronic leukemia of unspecified cell type,Chronic leukemia of unspecified cell type,False,general,contraindication
C95.10,1 Chronic leukemia of unsp cell type not achieve remission,Chronic leukemia of unspecified cell type not having achieved remission,False,general,contraindication
C95.11,"1 Chronic leukemia of unspecified cell type, in remission","Chronic leukemia of unspecified cell type, in remission",False,general,contraindication
C95.12,"1 Chronic leukemia of unspecified cell type, in relapse","Chronic leukemia of unspecified cell type, in relapse",False,general,contraindication
C95.9,"0 Leukemia, unspecified","Leukemia, unspecified",False,general,contraindication
C95.90,"1 Leukemia, unspecified not having achieved remission","Leukemia, unspecified not having achieved remission",False,general,contraindication
C95.91,"1 Leukemia, unspecified, in remission","Leukemia, unspecified, in remission",False,general,contraindication
C95.92,"1 Leukemia, unspecified, in relapse","Leukemia, unspecified, in relapse",False,general,contraindication
C96,"0 Oth & unsp malig neoplm of lymphoid, hematpoetc and rel ti","ss Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue",False,general,contraindication
C96.0,1 Multifocal and multisystemic Langerhans-cell histiocytosis,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis,False,general,contraindication
C96.2,0 Malignant mast cell neoplasm,Malignant mast cell neoplasm,False,general,contraindication
C96.20,"1 Malignant mast cell neoplasm, unspecified","Malignant mast cell neoplasm, unspecified",False,general,contraindication
C96.21,1 Aggressive systemic mastocytosis,Aggressive systemic mastocytosis,False,general,contraindication
C96.22,1 Mast cell sarcoma,Mast cell sarcoma,False,general,contraindication
C96.29,1 Other malignant mast cell neoplasm,Other malignant mast cell neoplasm,False,general,contraindication
C96.4,1 Sarcoma of dendritic cells (accessory cells),Sarcoma of dendritic cells (accessory cells),False,general,contraindication
C96.5,1 Multifocal and unisystemic Langerhans-cell histiocytosis,Multifocal and unisystemic Langerhans-cell histiocytosis,False,general,contraindication
C96.6,1 Unifocal Langerhans-cell histiocytosis,Unifocal Langerhans-cell histiocytosis,False,general,contraindication
C96.9,"1 Malig neoplm of lymphoid, hematpoetc and rel tissue, unsp","Malignant neoplasm of lymphoid, hematopoietic and related tissue, unspecified",False,general,contraindication
C96.A,1 Histiocytic sarcoma,Histiocytic sarcoma,False,general,contraindication
C96.Z,"1 Oth malig neoplm of lymphoid, hematpoetc and related tissu","e  Other specified malignant neoplasms of lymphoid, hematopoietic and related tissue",False,general,contraindication
E66,0 Overweight and obesity,Overweight and obesity,False,general,contraindication
E66.0,0 Obesity due to excess calories,Obesity due to excess calories,False,general,contraindication
